iter,loss,updates,lr,mae,over,greedy,profile
200,0.01249,1,0.0009801976930432226,9.570006370544434,0.0,0.0,{}
400,0.01849,2,0.0009607875174472556,8.624801635742188,0.0,0.0,{}
600,0.01818,3,0.0009417617081065252,7.663176536560059,0.0,0.0,{}
800,0.01897,4,0.0009231126536824612,6.708327293395996,0.0001,0.0006,{}
1000,0.01948,5,0.0009048328935585558,5.735194683074951,0.00015,0.0036,{}
1200,0.02484,6,0.0008869151148557204,4.774755477905273,0.0008,0.016,{}
1400,0.03647,7,0.0008693521495067418,3.8617820739746094,0.00245,0.0468,{}
1600,0.05353,8,0.0008521369713886755,3.0225489139556885,0.01145,0.074,{}
1800,0.10199,9,0.0008352626935120183,2.3611137866973877,0.0333,0.1114,{}
2000,0.13781,10,0.0008187225652655486,1.8898953199386597,0.06845,0.1492,{}
2200,0.15459,10,0.0008025099697157201,1.5761736631393433,0.1017,0.1892,{}
2400,0.12617,11,0.0007866184209595355,1.6174724102020264,0.09535,0.1932,{}
2600,0.15307,11,0.0007710415615298394,1.4898884296417236,0.1196,0.2076,{}
2800,0.13369,12,0.0007557731598519935,1.410417914390564,0.1418,0.2032,{}
3000,0.15881,12,0.000740807107750911,1.3056294918060303,0.17705,0.2184,{}
3200,0.14247,13,0.0007261374180074655,1.3259650468826294,0.1684,0.2214,{}
3400,0.16986,13,0.0007117582219632804,1.2716801166534424,0.1881,0.231,{}
3600,0.15539,13,0.0006976637671729533,1.2461847066879272,0.1933,0.2382,{}
3800,0.1465,14,0.0006838484151027731,1.2134991884231567,0.21035,0.241,{}
4000,0.17345,14,0.0006703066388750028,1.2163441181182861,0.2074,0.249,{}
4200,0.16262,14,0.0006570330210568341,1.1929832696914673,0.21595,0.2536,{}
4400,0.1542,14,0.0006440222514931284,1.1675376892089844,0.2245,0.262,{}
4600,0.14863,15,0.000631269125182066,1.191843867301941,0.2164,0.2596,{}
4800,0.17653,15,0.0006187685401928743,1.1866917610168457,0.21905,0.2732,{}
5000,0.1667,15,0.0006065154956247788,1.1781657934188843,0.2238,0.2744,{}
5200,0.16195,15,0.0005945050896063757,1.2062945365905762,0.2092,0.28,{}
5400,0.15589,15,0.0005827325173346239,1.1984418630599976,0.21155,0.2798,{}
5600,0.15274,15,0.0005711930691526672,1.159550666809082,0.22915,0.2924,{}
5800,0.14871,16,0.0005598821286657221,1.175588846206665,0.22245,0.2878,{}
6000,0.17422,16,0.00054879517089427,1.2061948776245117,0.20675,0.2892,{}
6200,0.16584,16,0.0005379277604638257,1.2245805263519287,0.20005,0.2894,{}
6400,0.16133,16,0.0005272755498305498,1.2014816999435425,0.2068,0.3002,{}
6600,0.15852,16,0.0005168342775420024,1.1931451559066772,0.2142,0.2894,{}
6800,0.15508,16,0.0005065997665323319,1.2193615436553955,0.19835,0.2934,{}
7000,0.15212,16,0.0004965679224512268,1.176782488822937,0.21715,0.3078,{}
7200,0.14975,17,0.00048673473202595874,1.1931145191192627,0.2119,0.3082,{}
7400,0.15286,17,0.00047709626145585603,1.2052475214004517,0.2023,0.3058,{}
7600,0.14607,18,0.00046764865483857635,1.2075939178466797,0.20045,0.2984,{}
7800,0.14399,19,0.0004583881326275385,1.1946841478347778,0.2031,0.3098,{}
8000,0.14241,20,0.0004493109901199042,1.1476325988769531,0.22405,0.3072,{}
8200,0.14527,21,0.0004404135959744968,1.144075870513916,0.22595,0.313,{}
8400,0.15065,21,0.0004316923907590721,1.1357027292251587,0.22855,0.31,{}
8600,0.14548,22,0.0004231438855263554,1.1340880393981934,0.2279,0.31,{}
8800,0.15172,22,0.0004147646604182792,1.1558356285095215,0.21745,0.3184,{}
9000,0.14671,23,0.00040655136329785274,1.166456699371338,0.21265,0.3138,{}
9200,0.15227,23,0.00039850070840813216,1.1881521940231323,0.1996,0.3204,{}
9400,0.14815,24,0.00039060947505774096,1.187776803970337,0.19895,0.3264,{}
9600,0.15682,24,0.0003828745063324223,1.2315179109573364,0.18145,0.3234,{}
9800,0.15136,24,0.0003752927078321034,1.1827725172042847,0.20035,0.3248,{}
10000,0.14866,25,0.000367861046432972,1.1692582368850708,0.20705,0.3296,{}
10200,0.15438,25,0.00036057654907406506,1.201185703277588,0.19485,0.325,{}
10400,0.14956,26,0.000353436301567885,1.1361603736877441,0.22635,0.328,{}
10600,0.14476,27,0.0003464374474345699,1.1842702627182007,0.2022,0.3272,{}
10800,0.1418,28,0.0003395771867591483,1.1992636919021606,0.1945,0.3322,{}
11000,0.13323,29,0.0003328527750714248,1.1807912588119507,0.19855,0.3258,{}
11200,0.1299,30,0.0003262615222480456,1.1782907247543335,0.20115,0.3346,{}
11400,0.13373,31,0.0003198007914363042,1.155537486076355,0.2132,0.3322,{}
11600,0.13106,32,0.0003134679979992623,1.1641120910644531,0.20955,0.3368,{}
11800,0.13127,33,0.00030726060848175474,1.1537435054779053,0.21395,0.328,{}
12000,0.12748,34,0.0003011761395968728,1.1442972421646118,0.21625,0.3306,{}
