iter,loss,updates,lr,mae,over,greedy,profile
17000,0.20245,34,0.00018266799557795538,,,,"{""1"": 1.024, ""5"": 4.758, ""10"": 9.55, ""15"": 12.148, ""20"": 13.091, ""25"": 13.499, ""30"": 13.715}"
17500,0.19695,35,0.00017375873788196854,,,,"{""1"": 0.921, ""5"": 4.735, ""10"": 9.57, ""15"": 12.139, ""20"": 13.063, ""25"": 13.47, ""30"": 13.688}"
18000,0.19308,36,0.0001652840109993426,,,,"{""1"": 0.907, ""5"": 4.891, ""10"": 9.583, ""15"": 12.145, ""20"": 13.051, ""25"": 13.453, ""30"": 13.667}"
18500,0.19084,37,0.0001572226215788241,,,,"{""1"": 1.081, ""5"": 4.885, ""10"": 9.589, ""15"": 12.171, ""20"": 13.074, ""25"": 13.468, ""30"": 13.678}"
19000,0.18999,38,0.00014955440993149924,,,,"{""1"": 0.959, ""5"": 4.814, ""10"": 9.545, ""15"": 12.148, ""20"": 13.053, ""25"": 13.447, ""30"": 13.657}"
19500,0.19068,39,0.0001422601996160291,,,,"{""1"": 0.949, ""5"": 4.731, ""10"": 9.588, ""15"": 12.19, ""20"": 13.106, ""25"": 13.505, ""30"": 13.712}"
20000,0.19288,40,0.00013532174948276067,,,,"{""1"": 0.972, ""5"": 4.751, ""10"": 9.596, ""15"": 12.19, ""20"": 13.112, ""25"": 13.514, ""30"": 13.725}"
20500,0.19234,41,0.00012872170805678932,,,,"{""1"": 1.025, ""5"": 4.833, ""10"": 9.598, ""15"": 12.216, ""20"": 13.146, ""25"": 13.549, ""30"": 13.766}"
21000,0.19394,42,0.0001224435701458928,,,,"{""1"": 1.021, ""5"": 4.76, ""10"": 9.591, ""15"": 12.254, ""20"": 13.19, ""25"": 13.599, ""30"": 13.813}"
21500,0.19608,43,0.00011647163556482468,,,,"{""1"": 0.945, ""5"": 4.78, ""10"": 9.547, ""15"": 12.218, ""20"": 13.15, ""25"": 13.561, ""30"": 13.771}"
22000,0.19682,44,0.00011079096987274824,,,,"{""1"": 1.043, ""5"": 4.835, ""10"": 9.547, ""15"": 12.221, ""20"": 13.169, ""25"": 13.581, ""30"": 13.795}"
22500,0.19746,45,0.00010538736702561795,,,,"{""1"": 0.892, ""5"": 4.867, ""10"": 9.571, ""15"": 12.243, ""20"": 13.199, ""25"": 13.615, ""30"": 13.834}"
23000,0.19544,46,0.00010024731385011745,,,,"{""1"": 1.052, ""5"": 4.825, ""10"": 9.571, ""15"": 12.264, ""20"": 13.224, ""25"": 13.651, ""30"": 13.872}"
23500,0.19544,47,9.535795625030743e-05,,,,"{""1"": 1.061, ""5"": 4.808, ""10"": 9.593, ""15"": 12.276, ""20"": 13.242, ""25"": 13.671, ""30"": 13.894}"
24000,0.19409,48,9.070706706247472e-05,,,,"{""1"": 1.032, ""5"": 4.831, ""10"": 9.609, ""15"": 12.271, ""20"": 13.234, ""25"": 13.659, ""30"": 13.882}"
24500,0.19264,49,8.628301547779609e-05,,,,"{""1"": 1.078, ""5"": 4.786, ""10"": 9.633, ""15"": 12.309, ""20"": 13.268, ""25"": 13.692, ""30"": 13.913}"
25000,0.1927,50,8.2074737956349e-05,,,,"{""1"": 1.059, ""5"": 4.928, ""10"": 9.615, ""15"": 12.321, ""20"": 13.282, ""25"": 13.706, ""30"": 13.926}"
25500,0.1934,51,7.807171055973175e-05,,,,"{""1"": 1.042, ""5"": 4.953, ""10"": 9.612, ""15"": 12.331, ""20"": 13.299, ""25"": 13.726, ""30"": 13.943}"
26000,0.19302,52,7.426392263310356e-05,,,,"{""1"": 1.037, ""5"": 4.944, ""10"": 9.595, ""15"": 12.334, ""20"": 13.315, ""25"": 13.748, ""30"": 13.966}"
26500,0.1939,53,7.064185177082823e-05,,,,"{""1"": 1.079, ""5"": 4.964, ""10"": 9.625, ""15"": 12.344, ""20"": 13.334, ""25"": 13.773, ""30"": 13.992}"
27000,0.19152,54,6.719644000311978e-05,,,,"{""1"": 0.938, ""5"": 4.93, ""10"": 9.665, ""15"": 12.358, ""20"": 13.35, ""25"": 13.788, ""30"": 14.01}"
27500,0.1893,55,6.391907114413309e-05,,,,"{""1"": 1.03, ""5"": 4.926, ""10"": 9.706, ""15"": 12.395, ""20"": 13.384, ""25"": 13.822, ""30"": 14.046}"
28000,0.18929,56,6.080154924485668e-05,,,,"{""1"": 1.037, ""5"": 4.901, ""10"": 9.724, ""15"": 12.398, ""20"": 13.382, ""25"": 13.817, ""30"": 14.036}"
28500,0.1887,57,5.783607809692113e-05,,,,"{""1"": 0.987, ""5"": 4.88, ""10"": 9.726, ""15"": 12.402, ""20"": 13.371, ""25"": 13.801, ""30"": 14.019}"
29000,0.18989,58,5.5015241736066813e-05,,,,"{""1"": 1.048, ""5"": 4.809, ""10"": 9.736, ""15"": 12.443, ""20"": 13.416, ""25"": 13.841, ""30"": 14.057}"
29500,0.19218,59,5.23319858965158e-05,,,,"{""1"": 0.97, ""5"": 4.882, ""10"": 9.722, ""15"": 12.453, ""20"": 13.43, ""25"": 13.858, ""30"": 14.075}"
30000,0.19521,60,4.977960036986875e-05,,,,"{""1"": 1.028, ""5"": 4.884, ""10"": 9.701, ""15"": 12.454, ""20"": 13.439, ""25"": 13.871, ""30"": 14.089}"
30500,0.19623,61,4.7351702224409895e-05,,,,"{""1"": 0.952, ""5"": 4.852, ""10"": 9.69, ""15"": 12.453, ""20"": 13.447, ""25"": 13.886, ""30"": 14.106}"
31000,0.19714,62,4.5042219842856905e-05,,,,"{""1"": 0.988, ""5"": 4.873, ""10"": 9.709, ""15"": 12.475, ""20"": 13.478, ""25"": 13.92, ""30"": 14.143}"
31500,0.19746,63,4.2845377738636e-05,,,,"{""1"": 1.006, ""5"": 4.824, ""10"": 9.7, ""15"": 12.468, ""20"": 13.47, ""25"": 13.917, ""30"": 14.141}"
32000,0.19697,64,4.0755682112712924e-05,,,,"{""1"": 0.949, ""5"": 4.839, ""10"": 9.705, ""15"": 12.478, ""20"": 13.478, ""25"": 13.923, ""30"": 14.148}"
32500,0.19694,65,3.876790711485942e-05,,,,"{""1"": 0.989, ""5"": 4.788, ""10"": 9.693, ""15"": 12.477, ""20"": 13.477, ""25"": 13.921, ""30"": 14.146}"
33000,0.19846,66,3.687708177499871e-05,,,,"{""1"": 1.018, ""5"": 4.811, ""10"": 9.678, ""15"": 12.48, ""20"": 13.486, ""25"": 13.932, ""30"": 14.155}"
33500,0.20055,67,3.5078477571947556e-05,,,,"{""1"": 1.019, ""5"": 4.814, ""10"": 9.649, ""15"": 12.466, ""20"": 13.481, ""25"": 13.928, ""30"": 14.153}"
34000,0.20039,68,3.336759660846753e-05,,,,"{""1"": 1.017, ""5"": 4.794, ""10"": 9.629, ""15"": 12.445, ""20"": 13.463, ""25"": 13.912, ""30"": 14.139}"
34500,0.19983,69,3.174016036305423e-05,,,,"{""1"": 1.019, ""5"": 4.833, ""10"": 9.603, ""15"": 12.413, ""20"": 13.435, ""25"": 13.887, ""30"": 14.116}"
35000,0.20036,70,3.01920989903344e-05,,,,"{""1"": 0.972, ""5"": 4.855, ""10"": 9.594, ""15"": 12.395, ""20"": 13.421, ""25"": 13.875, ""30"": 14.106}"
35500,0.19752,71,2.8719541143314977e-05,,,,"{""1"": 0.98, ""5"": 4.855, ""10"": 9.587, ""15"": 12.372, ""20"": 13.394, ""25"": 13.849, ""30"": 14.078}"
36000,0.19564,72,2.731880429203064e-05,,,,"{""1"": 0.996, ""5"": 4.849, ""10"": 9.61, ""15"": 12.379, ""20"": 13.398, ""25"": 13.853, ""30"": 14.081}"
36500,0.19371,73,2.5986385514379668e-05,,,,"{""1"": 0.991, ""5"": 4.823, ""10"": 9.612, ""15"": 12.362, ""20"": 13.371, ""25"": 13.823, ""30"": 14.05}"
37000,0.19263,74,2.4718952736117995e-05,,,,"{""1"": 0.957, ""5"": 4.795, ""10"": 9.64, ""15"": 12.377, ""20"": 13.381, ""25"": 13.828, ""30"": 14.055}"
37500,0.1919,75,2.3513336398104336e-05,,,,"{""1"": 0.997, ""5"": 4.811, ""10"": 9.646, ""15"": 12.386, ""20"": 13.388, ""25"": 13.832, ""30"": 14.057}"
38000,0.19177,76,2.2366521529958812e-05,,,,"{""1"": 1.022, ""5"": 4.823, ""10"": 9.657, ""15"": 12.412, ""20"": 13.413, ""25"": 13.856, ""30"": 14.082}"
38500,0.19357,77,2.1275640210312432e-05,,,,"{""1"": 1.034, ""5"": 4.811, ""10"": 9.66, ""15"": 12.434, ""20"": 13.438, ""25"": 13.878, ""30"": 14.103}"
39000,0.19411,78,2.023796439479237e-05,,,,"{""1"": 1.007, ""5"": 4.806, ""10"": 9.648, ""15"": 12.439, ""20"": 13.449, ""25"": 13.89, ""30"": 14.116}"
39500,0.19531,79,1.9250899093807767e-05,,,,"{""1"": 1.007, ""5"": 4.855, ""10"": 9.626, ""15"": 12.43, ""20"": 13.447, ""25"": 13.89, ""30"": 14.117}"
40000,0.1966,80,1.8311975883074994e-05,,,,"{""1"": 1.025, ""5"": 4.896, ""10"": 9.626, ""15"": 12.432, ""20"": 13.455, ""25"": 13.904, ""30"": 14.133}"
40500,0.19618,81,1.741884673065388e-05,,,,"{""1"": 0.967, ""5"": 4.886, ""10"": 9.625, ""15"": 12.424, ""20"": 13.448, ""25"": 13.902, ""30"": 14.132}"
41000,0.19527,82,1.656927812505728e-05,,,,"{""1"": 1.02, ""5"": 4.867, ""10"": 9.621, ""15"": 12.396, ""20"": 13.419, ""25"": 13.874, ""30"": 14.106}"
41500,0.19357,83,1.576114548975053e-05,,,,"{""1"": 1.012, ""5"": 4.85, ""10"": 9.627, ""15"": 12.38, ""20"": 13.399, ""25"": 13.851, ""30"": 14.083}"
42000,0.19091,84,1.4992427870072048e-05,,,,"{""1"": 0.985, ""5"": 4.856, ""10"": 9.651, ""15"": 12.393, ""20"": 13.405, ""25"": 13.854, ""30"": 14.084}"
42500,0.18999,85,1.4261202879288355e-05,,,,"{""1"": 0.996, ""5"": 4.827, ""10"": 9.663, ""15"": 12.41, ""20"": 13.414, ""25"": 13.859, ""30"": 14.087}"
43000,0.19017,86,1.3565641891145242e-05,,,,"{""1"": 0.987, ""5"": 4.87, ""10"": 9.671, ""15"": 12.436, ""20"": 13.438, ""25"": 13.88, ""30"": 14.106}"
